Year,Handle,Revenue,Hold,Taxes,Timeframe
2013,0,0,0%,0,0
2014,0,0,0%,0,0
2015,0,0,0%,0,0
2016,0,0,0%,0,0
2017,0,0,0%,0,0
2018,"$4,621,678,501 ","$334,497,861 ",6.91%,"$40,671,427 ",From June
2019,"$13,140,837,615 ","$920,650,578 ",6.79%,"$131,321,245 ",Full Year
2020,"$21,606,604,361 ","$1,560,874,435 ",6.94%,"$247,076,886 ",Full Year
2021,"$57,762,907,405 ","$4,353,064,574 ",7.68%,"$574,086,978 ",Full Year
2022,"$93,763,862,105 ","$7,591,514,510 ",8.18%,"$1,513,625,102 ",Full Year
2023,"$65,756,696,474 ","$6,207,158,167 ",9.50%,"$1,227,029,698 ",Till August
